nome,matrícula,curso
Gabriel,MAT4770,Administração
Julia,MAT1473,Ciências da Computação
Gabriel,MAT6202,Ciências da Computação
Julia,MAT4460,Medicina
Fernanda,MAT3389,Economia
Julia,MAT6034,Economia
Fernanda,MAT7646,Medicina
Fernanda,MAT7625,Medicina
Lucia,MAT4729,Medicina
Lucia,MAT1419,Engenharia
Rafael,MAT7809,Economia
Carlos,MAT8144,Engenharia
Carlos,MAT4274,Medicina
Lucia,MAT5452,Ciências da Computação
Ana,MAT8538,Medicina
Lucia,MAT4262,Medicina
Maria,MAT6153,Medicina
João,MAT1717,Ciências da Computação
Pedro,MAT8744,Engenharia
Ana,MAT7123,Administração
Pedro,MAT4123,Administração
Rafael,MAT5193,Administração
Lucia,MAT7860,Administração
Gabriel,MAT1435,Economia
Lucia,MAT6018,Administração
Rafael,MAT2734,Ciências da Computação
Maria,MAT2322,Ciências da Computação
Maria,MAT2403,Administração
Maria,MAT6471,Ciências da Computação
Gabriel,MAT8765,Medicina
Maria,MAT3249,Medicina
Ana,MAT2700,Medicina
Maria,MAT9435,Economia
Julia,MAT6385,Engenharia
Lucia,MAT5735,Engenharia
Pedro,MAT8238,Medicina
Gabriel,MAT4062,Engenharia
João,MAT5396,Ciências da Computação
Julia,MAT7177,Economia
Ana,MAT2796,Medicina
Maria,MAT7219,Medicina
Maria,MAT9373,Ciências da Computação
Gabriel,MAT2856,Economia
Maria,MAT6146,Engenharia
Rafael,MAT2661,Medicina
João,MAT2185,Economia
Maria,MAT1224,Ciências da Computação
Ana,MAT2269,Medicina
Fernanda,MAT3551,Administração
Lucia,MAT9031,Economia
Carlos,MAT3500,Ciências da Computação
Maria,MAT3971,Engenharia
Maria,MAT1272,Engenharia
Maria,MAT4341,Ciências da Computação
Fernanda,MAT5983,Economia
Carlos,MAT1649,Ciências da Computação
Carlos,MAT2971,Medicina
Julia,MAT5098,Economia
Fernanda,MAT3234,Administração
Rafael,MAT4906,Engenharia
Carlos,MAT2486,Medicina
Rafael,MAT1140,Economia
Gabriel,MAT6116,Medicina
Carlos,MAT4979,Medicina
Lucia,MAT7023,Engenharia
Rafael,MAT3606,Engenharia
Fernanda,MAT3748,Medicina
Julia,MAT5702,Ciências da Computação
Maria,MAT9074,Engenharia
Carlos,MAT9113,Medicina
Pedro,MAT5672,Engenharia
Julia,MAT3878,Medicina
Gabriel,MAT8696,Administração
Gabriel,MAT4295,Medicina
Maria,MAT7970,Economia
Maria,MAT8094,Ciências da Computação
Julia,MAT5657,Ciências da Computação
João,MAT7278,Engenharia
Maria,MAT8470,Ciências da Computação
Carlos,MAT9508,Ciências da Computação
Ana,MAT7864,Ciências da Computação
Lucia,MAT6809,Engenharia
Gabriel,MAT7220,Engenharia
Gabriel,MAT9694,Administração
Carlos,MAT3051,Administração
Rafael,MAT7292,Engenharia
Julia,MAT5190,Medicina
Pedro,MAT8881,Economia
Lucia,MAT6683,Ciências da Computação
Fernanda,MAT4255,Administração
Fernanda,MAT8808,Engenharia
Gabriel,MAT7254,Engenharia
Fernanda,MAT9992,Ciências da Computação
Rafael,MAT8939,Engenharia
Fernanda,MAT4405,Ciências da Computação
Fernanda,MAT1667,Administração
Julia,MAT6325,Ciências da Computação
Pedro,MAT1632,Ciências da Computação
Rafael,MAT8990,Economia
João,MAT5674,Ciências da Computação
Lucia,MAT8477,Ciências da Computação
Ana,MAT1199,Medicina
Carlos,MAT4881,Ciências da Computação
João,MAT1143,Medicina
Carlos,MAT5768,Economia
Rafael,MAT9438,Economia
Julia,MAT3147,Administração
Carlos,MAT6335,Engenharia
Fernanda,MAT3872,Ciências da Computação
Lucia,MAT8151,Medicina
Pedro,MAT4590,Engenharia
Maria,MAT8692,Ciências da Computação
João,MAT3026,Economia
Gabriel,MAT3093,Medicina
Fernanda,MAT5056,Engenharia
Fernanda,MAT8874,Economia
Fernanda,MAT3920,Economia
Julia,MAT4518,Medicina
Fernanda,MAT3330,Ciências da Computação
Julia,MAT6989,Administração
Fernanda,MAT7526,Administração
Rafael,MAT2227,Medicina
João,MAT3529,Economia
Rafael,MAT5832,Engenharia
Julia,MAT3886,Administração
Rafael,MAT2734,Administração
João,MAT4488,Engenharia
Lucia,MAT7082,Medicina
Julia,MAT8870,Engenharia
Julia,MAT8731,Economia
Pedro,MAT8062,Medicina
Maria,MAT5788,Economia
Carlos,MAT9948,Medicina
Julia,MAT5975,Medicina
Ana,MAT6458,Ciências da Computação
Julia,MAT5722,Ciências da Computação
Fernanda,MAT1233,Administração
Carlos,MAT8011,Ciências da Computação
Maria,MAT8097,Ciências da Computação
João,MAT1754,Medicina
Ana,MAT8310,Engenharia
Lucia,MAT7810,Engenharia
Carlos,MAT3505,Engenharia
Rafael,MAT3163,Ciências da Computação
Gabriel,MAT4726,Medicina
Fernanda,MAT5514,Administração
Pedro,MAT3770,Engenharia
Lucia,MAT7339,Economia
Maria,MAT4658,Engenharia
Maria,MAT6300,Engenharia
Gabriel,MAT3070,Administração
Pedro,MAT1861,Ciências da Computação
João,MAT5432,Medicina
Pedro,MAT4690,Ciências da Computação
Gabriel,MAT1104,Administração
Pedro,MAT1418,Medicina
Carlos,MAT1579,Administração
Fernanda,MAT2677,Medicina
Lucia,MAT4352,Economia
João,MAT8507,Administração
Fernanda,MAT2983,Medicina
Lucia,MAT9131,Medicina
Lucia,MAT3595,Economia
João,MAT9451,Ciências da Computação
Gabriel,MAT4295,Ciências da Computação
Ana,MAT1468,Medicina
Rafael,MAT2626,Administração
Lucia,MAT8870,Administração
Rafael,MAT3246,Economia
Gabriel,MAT5382,Engenharia
Maria,MAT7284,Administração
João,MAT5182,Medicina
Ana,MAT8136,Medicina
Fernanda,MAT2259,Engenharia
Ana,MAT1536,Engenharia
Maria,MAT1963,Medicina
Julia,MAT5988,Administração
Pedro,MAT6087,Administração
Ana,MAT8513,Medicina
Gabriel,MAT7006,Administração
Pedro,MAT4135,Economia
João,MAT5939,Medicina
Rafael,MAT7193,Economia
Lucia,MAT8684,Economia
Fernanda,MAT1526,Medicina
Carlos,MAT4745,Ciências da Computação
Rafael,MAT1262,Economia
Maria,MAT5137,Engenharia
Fernanda,MAT3839,Medicina
Fernanda,MAT3288,Economia
Gabriel,MAT7488,Ciências da Computação
Gabriel,MAT8369,Ciências da Computação
João,MAT4916,Engenharia
Julia,MAT1380,Engenharia
Ana,MAT9858,Economia
Lucia,MAT7250,Economia
Pedro,MAT7767,Medicina
Rafael,MAT8493,Economia
Lucia,MAT1247,Economia
Rafael,MAT7220,Administração
Gabriel,MAT7352,Medicina
Carlos,MAT3004,Economia
Fernanda,MAT9209,Administração
Fernanda,MAT6478,Medicina
Julia,MAT8387,Engenharia
Maria,MAT1231,Economia
Fernanda,MAT3907,Administração
Lucia,MAT4284,Administração
Ana,MAT9406,Medicina
João,MAT8930,Economia
Maria,MAT1114,Administração
João,MAT6329,Engenharia
Carlos,MAT9103,Ciências da Computação
Carlos,MAT9582,Engenharia
João,MAT3779,Administração
Lucia,MAT6665,Medicina
João,MAT9455,Medicina
Fernanda,MAT2519,Engenharia
Maria,MAT3116,Economia
Pedro,MAT8863,Medicina
Fernanda,MAT4707,Economia
Gabriel,MAT6111,Ciências da Computação
Gabriel,MAT9451,Ciências da Computação
Rafael,MAT1667,Medicina
Julia,MAT9691,Ciências da Computação
Maria,MAT2977,Administração
Julia,MAT1394,Economia
Pedro,MAT2296,Engenharia
Ana,MAT3288,Ciências da Computação
Lucia,MAT1259,Economia
Maria,MAT6463,Economia
Carlos,MAT1827,Economia
Pedro,MAT4287,Engenharia
Fernanda,MAT2329,Administração
Rafael,MAT8244,Engenharia
Julia,MAT5536,Engenharia
Pedro,MAT8848,Engenharia
Lucia,MAT3912,Engenharia
João,MAT7028,Economia
Rafael,MAT1927,Administração
Maria,MAT6189,Engenharia
João,MAT9246,Ciências da Computação
Carlos,MAT6788,Medicina
Pedro,MAT2519,Medicina
Rafael,MAT4734,Economia
Ana,MAT6730,Ciências da Computação
Fernanda,MAT9842,Administração
João,MAT6070,Administração
Fernanda,MAT5005,Engenharia
Ana,MAT4099,Economia
Fernanda,MAT3791,Medicina
Lucia,MAT3022,Ciências da Computação
Maria,MAT3066,Engenharia
Ana,MAT8660,Medicina
Gabriel,MAT3093,Administração
Julia,MAT9356,Administração
Julia,MAT4390,Economia
Gabriel,MAT5811,Administração
Gabriel,MAT9087,Administração
João,MAT5513,Engenharia
Ana,MAT2637,Ciências da Computação
Pedro,MAT2332,Ciências da Computação
João,MAT9227,Ciências da Computação
Ana,MAT6523,Administração
Carlos,MAT7799,Engenharia
Rafael,MAT8340,Medicina
Maria,MAT5590,Medicina
Lucia,MAT4395,Ciências da Computação
Fernanda,MAT5997,Ciências da Computação
João,MAT9360,Economia
Lucia,MAT2199,Ciências da Computação
Maria,MAT6057,Medicina
Fernanda,MAT6793,Economia
Gabriel,MAT6541,Economia
Gabriel,MAT9497,Medicina
Julia,MAT6070,Economia
Maria,MAT2414,Medicina
Pedro,MAT8445,Economia
João,MAT8704,Engenharia
Rafael,MAT2702,Medicina
Pedro,MAT7267,Economia
Carlos,MAT1764,Administração
Rafael,MAT3702,Economia
Maria,MAT5614,Economia
Gabriel,MAT2438,Medicina
Gabriel,MAT6472,Ciências da Computação
Lucia,MAT8437,Engenharia
João,MAT6391,Ciências da Computação
Fernanda,MAT7904,Economia
Julia,MAT9834,Engenharia
Pedro,MAT9846,Engenharia
Julia,MAT6330,Economia
Gabriel,MAT4947,Economia
Fernanda,MAT1920,Ciências da Computação
Ana,MAT7713,Engenharia
Rafael,MAT3150,Engenharia
Maria,MAT5559,Ciências da Computação
Fernanda,MAT2521,Economia
João,MAT6031,Economia
Carlos,MAT1559,Medicina
Lucia,MAT8239,Administração
Lucia,MAT2234,Economia
Gabriel,MAT6453,Economia
Ana,MAT9556,Economia
Rafael,MAT7067,Ciências da Computação
Carlos,MAT8634,Medicina
Pedro,MAT4232,Administração
Carlos,MAT4499,Ciências da Computação
Rafael,MAT1987,Ciências da Computação
Ana,MAT5652,Medicina
Gabriel,MAT3300,Engenharia
Gabriel,MAT9057,Engenharia
João,MAT4326,Medicina
Maria,MAT1606,Administração
Maria,MAT6155,Economia
Pedro,MAT5397,Economia
Fernanda,MAT6786,Ciências da Computação
Rafael,MAT4584,Economia
Pedro,MAT7972,Medicina
Ana,MAT5041,Economia
Ana,MAT9074,Administração
Lucia,MAT4921,Medicina
Ana,MAT8503,Medicina
João,MAT2114,Ciências da Computação
Carlos,MAT9300,Administração
João,MAT3716,Ciências da Computação
Lucia,MAT4596,Medicina
Maria,MAT1984,Administração
Maria,MAT6412,Administração
Carlos,MAT4276,Engenharia
Rafael,MAT1077,Medicina
Fernanda,MAT7097,Economia
João,MAT9338,Ciências da Computação
Maria,MAT3227,Engenharia
Fernanda,MAT5608,Engenharia
Gabriel,MAT2765,Engenharia
Pedro,MAT8434,Administração
Pedro,MAT7095,Economia
Julia,MAT7222,Ciências da Computação
Lucia,MAT5161,Administração
Maria,MAT8566,Economia
Gabriel,MAT8316,Medicina
João,MAT6291,Engenharia
Rafael,MAT3633,Engenharia
Pedro,MAT6143,Economia
Pedro,MAT3484,Engenharia
Pedro,MAT1736,Economia
Carlos,MAT8298,Economia
João,MAT7901,Economia
Rafael,MAT3215,Ciências da Computação
Maria,MAT2027,Administração
Gabriel,MAT8028,Medicina
Lucia,MAT9894,Engenharia
Julia,MAT3299,Engenharia
Lucia,MAT2478,Medicina
Ana,MAT1538,Administração
Julia,MAT5472,Administração
Maria,MAT4558,Administração
Gabriel,MAT2715,Engenharia
Pedro,MAT2650,Ciências da Computação
Gabriel,MAT4497,Administração
João,MAT5972,Economia
Ana,MAT9832,Ciências da Computação
Maria,MAT5613,Administração
Ana,MAT6957,Ciências da Computação
Lucia,MAT9806,Economia
Pedro,MAT5215,Medicina
Gabriel,MAT7409,Administração
Lucia,MAT8191,Administração
Gabriel,MAT4314,Engenharia
Maria,MAT1088,Ciências da Computação
Lucia,MAT4725,Ciências da Computação
Gabriel,MAT7093,Administração
Lucia,MAT5570,Administração
João,MAT5644,Engenharia
Ana,MAT5995,Administração
Julia,MAT7530,Engenharia
Julia,MAT8449,Engenharia
João,MAT1593,Engenharia
Pedro,MAT4730,Ciências da Computação
Pedro,MAT1971,Administração
João,MAT7427,Engenharia
Gabriel,MAT2691,Administração
Carlos,MAT2262,Administração
Lucia,MAT3039,Administração
Pedro,MAT7371,Administração
Carlos,MAT2151,Administração
Ana,MAT3585,Administração
Maria,MAT2494,Medicina
Lucia,MAT4239,Economia
Pedro,MAT1602,Ciências da Computação
Fernanda,MAT5202,Medicina
Julia,MAT8130,Economia
Ana,MAT5176,Economia
João,MAT3575,Administração
Carlos,MAT9657,Engenharia
João,MAT1332,Economia
João,MAT2406,Ciências da Computação
Pedro,MAT8167,Engenharia
João,MAT2668,Administração
Carlos,MAT6063,Economia
Gabriel,MAT5586,Engenharia
Julia,MAT3881,Medicina
Gabriel,MAT8596,Engenharia
Lucia,MAT9978,Medicina
João,MAT7782,Ciências da Computação
Rafael,MAT4652,Economia
Fernanda,MAT6095,Administração
Gabriel,MAT6261,Administração
Julia,MAT8168,Engenharia
Rafael,MAT6151,Engenharia
Rafael,MAT8753,Ciências da Computação
Carlos,MAT8480,Economia
João,MAT3716,Administração
Rafael,MAT5230,Engenharia
Rafael,MAT2958,Ciências da Computação
Ana,MAT7321,Economia
Maria,MAT6047,Administração
Gabriel,MAT8197,Administração
Julia,MAT9831,Engenharia
Ana,MAT9671,Administração
Maria,MAT2587,Administração
Rafael,MAT8585,Medicina
Fernanda,MAT7007,Medicina
João,MAT3482,Administração
Gabriel,MAT8095,Ciências da Computação
Maria,MAT8323,Engenharia
Fernanda,MAT1755,Engenharia
João,MAT6605,Economia
Pedro,MAT2647,Engenharia
Ana,MAT6323,Ciências da Computação
Lucia,MAT8560,Administração
Julia,MAT6419,Administração
Ana,MAT6942,Economia
Ana,MAT8575,Economia
Lucia,MAT1294,Engenharia
Ana,MAT9818,Medicina
Fernanda,MAT3770,Administração
Fernanda,MAT4407,Engenharia
Gabriel,MAT7676,Engenharia
Maria,MAT5416,Medicina
Carlos,MAT8520,Economia
Gabriel,MAT9579,Engenharia
Rafael,MAT2690,Economia
Maria,MAT2803,Medicina
Lucia,MAT7351,Ciências da Computação
Pedro,MAT8242,Medicina
Pedro,MAT3524,Administração
Maria,MAT2871,Ciências da Computação
Gabriel,MAT4833,Administração
Ana,MAT5996,Administração
João,MAT8612,Economia
Pedro,MAT6349,Ciências da Computação
Gabriel,MAT7639,Ciências da Computação
Ana,MAT1119,Medicina
Carlos,MAT7045,Administração
Julia,MAT5214,Engenharia
João,MAT4447,Medicina
Ana,MAT1854,Medicina
Rafael,MAT8534,Economia
Maria,MAT5118,Administração
Gabriel,MAT1715,Economia
Gabriel,MAT8311,Administração
Lucia,MAT4143,Economia
Maria,MAT2469,Administração
Carlos,MAT7662,Engenharia
Pedro,MAT5972,Administração
Pedro,MAT1528,Engenharia
Julia,MAT9254,Administração
Ana,MAT8831,Administração
Lucia,MAT9826,Administração
Pedro,MAT9254,Engenharia
Fernanda,MAT7867,Engenharia
Ana,MAT3514,Ciências da Computação
Julia,MAT7443,Administração
Gabriel,MAT4460,Economia
Carlos,MAT9635,Economia
Lucia,MAT1475,Economia
Lucia,MAT3947,Administração
Julia,MAT3017,Economia
Pedro,MAT1200,Medicina
Rafael,MAT8447,Engenharia
João,MAT8142,Ciências da Computação
Maria,MAT9115,Engenharia
Pedro,MAT1993,Economia
Julia,MAT5111,Ciências da Computação
Carlos,MAT5092,Engenharia
Fernanda,MAT9713,Ciências da Computação
Maria,MAT1635,Economia
Gabriel,MAT1955,Ciências da Computação
Julia,MAT3801,Administração
Julia,MAT1664,Medicina
Julia,MAT4009,Ciências da Computação
Lucia,MAT6153,Medicina
Lucia,MAT6092,Medicina
Lucia,MAT3281,Ciências da Computação
João,MAT6065,Economia
Fernanda,MAT7939,Medicina
Gabriel,MAT2515,Medicina
João,MAT1590,Medicina
Fernanda,MAT8339,Ciências da Computação
Julia,MAT3666,Economia
Gabriel,MAT1601,Administração
Pedro,MAT7417,Engenharia
Pedro,MAT2857,Economia
Rafael,MAT4835,Medicina
Ana,MAT7249,Medicina
Fernanda,MAT7047,Engenharia
Maria,MAT5162,Engenharia
Pedro,MAT6618,Medicina
Lucia,MAT3746,Engenharia
Carlos,MAT4560,Engenharia
Fernanda,MAT5388,Economia
Gabriel,MAT3711,Medicina
Lucia,MAT2802,Medicina
Carlos,MAT1374,Economia
Maria,MAT7464,Economia
Julia,MAT5383,Ciências da Computação
Ana,MAT2174,Engenharia
Gabriel,MAT9460,Ciências da Computação
Fernanda,MAT3491,Administração
João,MAT7107,Engenharia
Pedro,MAT7873,Engenharia
João,MAT4931,Economia
Julia,MAT3011,Administração
Maria,MAT2168,Administração
João,MAT8350,Engenharia
Ana,MAT2832,Administração
Lucia,MAT2022,Economia
Gabriel,MAT4643,Engenharia
Lucia,MAT3226,Economia
Carlos,MAT8397,Medicina
Lucia,MAT4899,Economia
Lucia,MAT4861,Engenharia
Julia,MAT6730,Engenharia
Carlos,MAT9193,Administração
Gabriel,MAT2752,Medicina
Julia,MAT2800,Administração
Maria,MAT7759,Engenharia
Ana,MAT9530,Administração
Ana,MAT4864,Administração
Gabriel,MAT2697,Medicina
Rafael,MAT8702,Medicina
Gabriel,MAT3147,Medicina
Lucia,MAT9795,Ciências da Computação
Julia,MAT7547,Administração
Lucia,MAT9839,Medicina
Lucia,MAT3686,Economia
Rafael,MAT1863,Economia
Gabriel,MAT8564,Medicina
Gabriel,MAT6613,Medicina
Carlos,MAT1503,Engenharia
Carlos,MAT8509,Ciências da Computação
Gabriel,MAT7979,Engenharia
Gabriel,MAT5276,Economia
João,MAT4170,Ciências da Computação
Carlos,MAT5224,Ciências da Computação
Julia,MAT3216,Medicina
Ana,MAT4057,Administração
Lucia,MAT1455,Economia
Gabriel,MAT9127,Ciências da Computação
Pedro,MAT7849,Engenharia
Lucia,MAT5982,Administração
Lucia,MAT7839,Ciências da Computação
Fernanda,MAT2486,Engenharia
Rafael,MAT5598,Economia
Julia,MAT9084,Administração
Lucia,MAT1394,Economia
Julia,MAT8192,Medicina
Pedro,MAT7109,Economia
João,MAT1954,Ciências da Computação
Maria,MAT1060,Administração
Pedro,MAT8416,Engenharia
Lucia,MAT9116,Medicina
Gabriel,MAT4286,Ciências da Computação
Carlos,MAT7119,Medicina
Fernanda,MAT3535,Ciências da Computação
Maria,MAT6213,Engenharia
Carlos,MAT2317,Engenharia
Maria,MAT5002,Economia
Rafael,MAT1171,Engenharia
Rafael,MAT7645,Engenharia
Fernanda,MAT3258,Administração
Fernanda,MAT4210,Administração
Rafael,MAT7938,Economia
João,MAT7737,Ciências da Computação
Gabriel,MAT9367,Medicina
Lucia,MAT1263,Engenharia
Fernanda,MAT3313,Administração
João,MAT9808,Economia
Carlos,MAT7553,Medicina
Gabriel,MAT7598,Engenharia
Rafael,MAT2041,Ciências da Computação
Carlos,MAT1240,Engenharia
João,MAT8266,Administração
Carlos,MAT5464,Economia
João,MAT7898,Ciências da Computação
Fernanda,MAT9849,Engenharia
João,MAT5808,Medicina
Pedro,MAT8749,Economia
João,MAT1121,Administração
Julia,MAT5145,Ciências da Computação
Carlos,MAT2015,Engenharia
Carlos,MAT3589,Engenharia
Carlos,MAT6141,Medicina
João,MAT2653,Administração
Gabriel,MAT2561,Administração
Carlos,MAT7018,Engenharia
Maria,MAT2108,Administração
Lucia,MAT5036,Economia
João,MAT5270,Engenharia
Fernanda,MAT5586,Economia
Pedro,MAT3682,Medicina
Carlos,MAT1445,Medicina
Lucia,MAT5299,Engenharia
Carlos,MAT2787,Ciências da Computação
Maria,MAT8359,Engenharia
Carlos,MAT3306,Ciências da Computação
Pedro,MAT7742,Ciências da Computação
João,MAT6263,Ciências da Computação
Carlos,MAT9852,Engenharia
Julia,MAT8317,Administração
Maria,MAT2763,Engenharia
Rafael,MAT8135,Engenharia
Pedro,MAT2656,Economia
Julia,MAT7010,Ciências da Computação
João,MAT1710,Engenharia
Gabriel,MAT5844,Engenharia
Rafael,MAT5261,Ciências da Computação
João,MAT1724,Ciências da Computação
João,MAT8221,Administração
Julia,MAT2472,Engenharia
Pedro,MAT7657,Ciências da Computação
Carlos,MAT8080,Ciências da Computação
Pedro,MAT7976,Medicina
João,MAT6000,Administração
Carlos,MAT4671,Medicina
Carlos,MAT8600,Medicina
Gabriel,MAT5666,Medicina
Rafael,MAT9706,Medicina
Maria,MAT3979,Ciências da Computação
Ana,MAT2492,Economia
Fernanda,MAT8013,Medicina
Gabriel,MAT6938,Administração
Gabriel,MAT4526,Ciências da Computação
Pedro,MAT6549,Administração
Lucia,MAT7528,Medicina
Ana,MAT5392,Administração
Ana,MAT8359,Medicina
Lucia,MAT1010,Ciências da Computação
Rafael,MAT3946,Economia
Fernanda,MAT5779,Administração
Ana,MAT5085,Economia
João,MAT1371,Medicina
Rafael,MAT3879,Ciências da Computação
Fernanda,MAT6980,Ciências da Computação
Rafael,MAT1516,Ciências da Computação
Lucia,MAT8105,Engenharia
Lucia,MAT1973,Medicina
Carlos,MAT4586,Administração
Maria,MAT2033,Medicina
Rafael,MAT4624,Economia
Ana,MAT3034,Medicina
Lucia,MAT2991,Engenharia
Carlos,MAT7247,Ciências da Computação
Maria,MAT1125,Economia
Fernanda,MAT3223,Ciências da Computação
Rafael,MAT6280,Administração
Gabriel,MAT1563,Economia
Carlos,MAT7523,Engenharia
João,MAT2519,Ciências da Computação
Rafael,MAT4842,Economia
João,MAT1584,Engenharia
João,MAT9546,Engenharia
Ana,MAT1260,Engenharia
Ana,MAT3096,Ciências da Computação
João,MAT3364,Economia
Gabriel,MAT3431,Engenharia
Gabriel,MAT7364,Engenharia
Lucia,MAT1915,Ciências da Computação
Gabriel,MAT5906,Administração
Rafael,MAT9935,Administração
Gabriel,MAT5489,Medicina
Julia,MAT8762,Engenharia
Ana,MAT1566,Administração
Julia,MAT3614,Engenharia
Fernanda,MAT9669,Administração
Ana,MAT3341,Economia
Carlos,MAT2198,Administração
Ana,MAT6411,Medicina
Ana,MAT8155,Medicina
Rafael,MAT4200,Ciências da Computação
Fernanda,MAT5481,Medicina
Lucia,MAT5243,Economia
Fernanda,MAT4854,Medicina
João,MAT8856,Ciências da Computação
Fernanda,MAT4752,Medicina
Ana,MAT7385,Economia
Rafael,MAT1893,Administração
João,MAT5920,Engenharia
Gabriel,MAT1740,Medicina
João,MAT8936,Economia
Gabriel,MAT3433,Engenharia
Lucia,MAT6874,Administração
Carlos,MAT7545,Engenharia
Fernanda,MAT3831,Administração
Carlos,MAT6370,Engenharia
João,MAT1055,Medicina
Fernanda,MAT3109,Economia
Gabriel,MAT9390,Administração
Rafael,MAT6236,Economia
Pedro,MAT7935,Engenharia
Carlos,MAT2554,Economia
Rafael,MAT8823,Administração
Ana,MAT5130,Ciências da Computação
Lucia,MAT8096,Ciências da Computação
Pedro,MAT1657,Medicina
Pedro,MAT4515,Administração
João,MAT9620,Engenharia
Pedro,MAT8755,Engenharia
Carlos,MAT1324,Administração
Lucia,MAT7403,Administração
Rafael,MAT7310,Administração
Julia,MAT7087,Ciências da Computação
Gabriel,MAT4921,Ciências da Computação
Fernanda,MAT1617,Engenharia
Fernanda,MAT6366,Engenharia
Lucia,MAT2217,Engenharia
Lucia,MAT7551,Ciências da Computação
Pedro,MAT1090,Economia
Rafael,MAT9420,Medicina
Ana,MAT4686,Ciências da Computação
Carlos,MAT5067,Ciências da Computação
Carlos,MAT6135,Economia
Rafael,MAT1192,Ciências da Computação
Rafael,MAT7465,Medicina
Pedro,MAT2217,Medicina
João,MAT5858,Administração
João,MAT3674,Medicina
Fernanda,MAT4345,Medicina
Carlos,MAT2862,Economia
Fernanda,MAT6705,Engenharia
Fernanda,MAT5581,Economia
Fernanda,MAT8688,Engenharia
Gabriel,MAT9504,Engenharia
Pedro,MAT3836,Ciências da Computação
João,MAT3938,Medicina
Carlos,MAT6182,Economia
Carlos,MAT7233,Medicina
Fernanda,MAT6825,Administração
Carlos,MAT1210,Administração
Pedro,MAT3457,Medicina
Pedro,MAT1610,Ciências da Computação
Maria,MAT7059,Ciências da Computação
João,MAT2111,Medicina
Carlos,MAT4728,Administração
Pedro,MAT4014,Engenharia
Maria,MAT4124,Ciências da Computação
Carlos,MAT5342,Administração
Gabriel,MAT1105,Economia
Ana,MAT3725,Administração
Rafael,MAT1657,Economia
Pedro,MAT2526,Medicina
João,MAT4809,Economia
Fernanda,MAT4824,Medicina
Lucia,MAT4640,Ciências da Computação
Lucia,MAT7447,Medicina
Julia,MAT3583,Economia
Gabriel,MAT2186,Administração
João,MAT9775,Medicina
Julia,MAT1013,Medicina
Fernanda,MAT6497,Administração
João,MAT1957,Engenharia
Gabriel,MAT3676,Medicina
Lucia,MAT9038,Economia
Rafael,MAT2194,Economia
Lucia,MAT1934,Administração
Pedro,MAT9633,Economia
João,MAT2943,Medicina
Carlos,MAT8478,Administração
Fernanda,MAT7751,Administração
Fernanda,MAT5713,Medicina
Pedro,MAT5593,Economia
Pedro,MAT4799,Engenharia
Carlos,MAT8850,Economia
Gabriel,MAT7165,Ciências da Computação
Maria,MAT8003,Economia
